Galaxy Name,Type (RC3),err,D,GLON,GLAT,Vgsr (RC3),wts
"ESO 356- G 004, Fornax DSph",dE.4,0.2,0.14,237.1,-65.7,-41,5
"DDO 093, Leo B",dE.0,0.2,0.21,220.2,67.2,36,5
"DDO 074, Leo I",dE.3,0.2,0.222,226,49.1,60,5
"DDO 074, Leo I",dE.3,0.05,0.24,226,49.1,60,20
"DDO 074, Leo I",dE.3,0.2,0.25,226,49.1,60,5
"DDO 074, Leo I",dE.3,0.15,0.251,226,49.1,60,6.666666667
"DDO 074, Leo I",dE.3,0.1,0.26,226,49.1,60,10
"DDO 074, Leo I",dE.3,0.15,0.263,226,49.1,60,6.666666667
"DDO 074, Leo I",dE.3,0.11,0.27,226,49.1,60,9.090909091
"ESO 245- G 007, Phoenix Dwarf",IA.9,0.1,0.358,272.2,-68.9,-34,10
"M110, NGC 0205",E.5.P,0.2,0.382,120.7,-21.1,-60,5
"ESO 245- G 007, Phoenix Dwarf",IA.9,0.2,0.398,272.2,-68.9,-34,5
"ESO 245- G 007, Phoenix Dwarf",IA.9,0.1,0.398,272.2,-68.9,-34,10
"ESO 245- G 007, Phoenix Dwarf",IA.9,0.07,0.406,272.2,-68.9,-34,14.28571429
"ESO 245- G 007, Phoenix Dwarf",IA.9,0.08,0.439,272.2,-68.9,-34,12.5
NGC 6822,IBS9,0.52,0.441,25.4,-18.4,44,1.923076923
NGC 6822,IBS9,0.18,0.45,25.4,-18.4,44,5.555555556
NGC 0185,E.3.P,0.2,0.457,120.8,-14.5,-64,5
NGC 6822,IBS9,0.4,0.457,25.4,-18.4,44,2.5
NGC 6822,IBS9,0.03,0.459,25.4,-18.4,44,33.33333333
NGC 6822,IBS9,0.02,0.46,25.4,-18.4,44,50
NGC 6822,IBS9,0.1,0.466,25.4,-18.4,44,10
NGC 6822,IBS9,0.04,0.466,25.4,-18.4,44,25
NGC 6822,IBS9,0.17,0.47,25.4,-18.4,44,5.882352941
NGC 6822,IBS9,0.07,0.472,25.4,-18.4,44,14.28571429
NGC 6822,IBS9,0.52,0.474,25.4,-18.4,44,1.923076923
NGC 6822,IBS9,0.08,0.476,25.4,-18.4,44,12.5
NGC 6822,IBS9,0.1,0.479,25.4,-18.4,44,10
NGC 6822,IBS9,0.2,0.488,25.4,-18.4,44,5
NGC 6822,IBS9,0.08,0.499,25.4,-18.4,44,12.5
NGC 6822,IBS9,0.2,0.5,25.4,-18.4,44,5
IC 0010,IB.9,0.19,0.5,119,-3.3,-146,5.263157895
NGC 6822,IBS9,0.19,0.535,25.4,-18.4,44,5.263157895
NGC 6822,IBS9,0.13,0.54,25.4,-18.4,44,7.692307692
And II,E?,0.46,0.583,128.9,-29.2,-40,2.173913043
And II,E?,0.42,0.583,128.9,-29.2,-40,2.380952381
"M33, NGC 0598",SAS6,0.35,0.583,133.6,-31.3,-46,2.857142857
NGC 0147,E.5.P,0.2,0.608,119.8,-14.3,28,5
LGS 3,I?,0.07,0.61,126.8,-40.9,-149,14.28571429
NGC 0185,E.3.P,0.09,0.616,120.8,-14.5,-64,11.11111111
LGS 3,I?,0.12,0.619,126.8,-40.9,-149,8.333333333
NGC 0185,E.3.P,0.21,0.62,120.8,-14.5,-64,4.761904762
LGS 3,I?,0.1,0.625,126.8,-40.9,-149,10
NGC 0185,E.3.P,0.16,0.637,120.8,-14.5,-64,6.25
NGC 0147,E.5.P,0.2,0.646,119.8,-14.3,28,5
"M31, NGC 0224",SAS3,0.23,0.646,121.2,-21.6,-121,4.347826087
And II,E?,0.06,0.646,128.9,-29.2,-40,16.66666667
"IC 1613, DDO 008",IBS9,0.15,0.65,129.7,-60.6,-152,6.666666667
And II,E?,0.06,0.652,128.9,-29.2,-40,16.66666667
LGS 3,I?,0.3,0.655,126.8,-40.9,-149,3.333333333
IC 0010,IB.9,0.19,0.66,119,-3.3,-146,5.263157895
"IC 1613, DDO 008",IBS9,0.27,0.661,129.7,-60.6,-152,3.703703704
And II,E?,0.02,0.665,128.9,-29.2,-40,50
"M31, NGC 0224",SAS3,0.45,0.667,121.2,-21.6,-121,2.222222222
NGC 0147,E.5.P,0.09,0.675,119.8,-14.3,28,11.11111111
"M31, NGC 0224",SAS3,0.2,0.679,121.2,-21.6,-121,5
"M32, NGC 0221",CE.2,0.14,0.682,121.1,-22,-28,7.142857143
"IC 1613, DDO 008",IBS9,0.07,0.682,129.7,-60.6,-152,14.28571429
And II,E?,0.06,0.682,128.9,-29.2,-40,16.66666667
"IC 1613, DDO 008",IBS9,0.07,0.685,129.7,-60.6,-152,14.28571429
"IC 1613, DDO 008",IBS9,0.11,0.689,129.7,-60.6,-152,9.090909091
"IC 1613, DDO 008",IBS9,0.15,0.69,129.7,-60.6,-152,6.666666667
"M31, NGC 0224",SAS3,0.2,0.692,121.2,-21.6,-121,5
"IC 1613, DDO 008",IBS9,0.2,0.692,129.7,-60.6,-152,5
"DDO 069, Leo A",IB.9,0.2,0.692,196.9,52.4,-19,5
"IC 1613, DDO 008",IBS9,0.07,0.692,129.7,-60.6,-152,14.28571429
"IC 1613, DDO 008",IBS9,0.02,0.692,129.7,-60.6,-152,50
"IC 1613, DDO 008",IBS9,0.19,0.701,129.7,-60.6,-152,5.263157895
"IC 1613, DDO 008",IBS9,0.06,0.701,129.7,-60.6,-152,16.66666667
"M31, NGC 0224",SAS3,0.08,0.705,121.2,-21.6,-121,12.5
"Cassiopeia Dwarf, And VII",Sph?,0.25,0.708,109.5,-10,-95,4
"IC 1613, DDO 008",IBS9,0.14,0.708,129.7,-60.6,-152,7.142857143
NGC 6822,IBS9,0.04,0.708,25.4,-18.4,44,25
NGC 1569,IB.9,0.2,0.71,143.7,11.2,40,5
"M31, NGC 0224",SAS3,0.2,0.711,121.2,-21.6,-121,5
"IC 1613, DDO 008",IBS9,0.08,0.714,129.7,-60.6,-152,12.5
"IC 1613, DDO 008",IBS9,0.05,0.718,129.7,-60.6,-152,20
"IC 1613, DDO 008",IBS9,0.14,0.721,129.7,-60.6,-152,7.142857143
"IC 1613, DDO 008",IBS9,0.12,0.721,129.7,-60.6,-152,8.333333333
"IC 1613, DDO 008",IBS9,0.04,0.721,129.7,-60.6,-152,25
